asset_id	filename	category	caption	alt_text	source_url	rights_status
airbnb_01_wohnbereich_kamin	airbnb_01_wohnbereich_kamin.jpeg	airbnb	Wohnbereich mit schwarzem Kamin, Palmenwand, grünen Sesseln und rosafarbenem Sofa	Wohnbereich der Werkhalle vier mit schwarzem Kamin, Palmenwand, grünen Sesseln und rosafarbenem Sofa	https://a0.muscache.com/im/pictures/hosting/Hosting-51856910/original/9e3b704f-19f5-4df7-8e48-2e452686a271.jpeg?im_w=960	permission_required
airbnb_02_essbereich	airbnb_02_essbereich.jpeg	airbnb	Essbereich mit massivem Holztisch, Stühlen, Fenster und Pendelleuchten	Essbereich der Werkhalle vier mit massivem Holztisch, Stühlen und Fensterfront	https://a0.muscache.com/im/pictures/miso/Hosting-51856910/original/59379572-b9e8-4640-869c-340b8d16bfa8.jpeg?im_w=720	permission_required
airbnb_03_kueche	airbnb_03_kueche.jpeg	airbnb	Küche mit dunklen Fronten, Holzarbeitsplatte, Kochfeld, Backsteinstruktur und offenen Regalen	Küche der Werkhalle vier mit dunklen Fronten, Holzarbeitsplatte und Backsteinwand	https://a0.muscache.com/im/pictures/hosting/Hosting-51856910/original/01be237f-d5b8-47f5-9555-b5c0f99e5f41.jpeg?im_w=720	permission_required
airbnb_04_schlafzimmer_blau	airbnb_04_schlafzimmer_blau.jpeg	airbnb	Schlafzimmer mit blau-grauer Wand, klassischem Polsterbett, Kronleuchter und Bild	Schlafzimmer der Werkhalle vier mit blau-grauer Wand, Polsterbett und Kronleuchter	https://a0.muscache.com/im/pictures/miso/Hosting-51856910/original/73503b00-52f9-4c10-9bff-cc6c2036adb7.jpeg?im_w=720	permission_required
airbnb_05_schlafbereich_kommode	airbnb_05_schlafbereich_kommode.jpeg	airbnb	Helles Zimmer mit dunkler Kommode, offenem Regal, Sessel, Lampe und blauem Vorhang	Helles Schlafzimmer der Werkhalle vier mit Kommode, Regal, Sessel und Fenster	https://a0.muscache.com/im/pictures/hosting/Hosting-51856910/original/f2b5a69f-fdb3-4f7c-8874-278a0aee5d0c.jpeg?im_w=720	permission_required
airbnb_06_schlafzimmer_1_doppelbett	airbnb_06_schlafzimmer_1_doppelbett.jpeg	airbnb	Schlafzimmerdetail mit Globus im Vordergrund, Bett, Kissen und warmer Beleuchtung	Schlafzimmerdetail der Werkhalle vier mit Globus, Bett und warmer Beleuchtung	https://a0.muscache.com/im/pictures/miso/Hosting-51856910/original/c30da963-2fbd-485c-a9c5-7a6fe071c1dc.jpeg?im_w=720	permission_required
airbnb_07_schlafzimmer_2_queensize	airbnb_07_schlafzimmer_2_queensize.jpeg	airbnb	Schlafbereich mit weißem Bett, grafischem YES!-Bild, strukturierter Wand und Leuchten	Schlafbereich der Werkhalle vier mit weißem Bett und grafischem YES!-Bild	https://a0.muscache.com/im/pictures/miso/Hosting-51856910/original/58744d16-7b7a-4dad-b418-c70096f47422.jpeg?im_w=720	permission_required
presse_kreativtreff	presse_referenzen/pressebild_kreativtreff.webp	presse_reference	Person in der Werkhalle vor einer kreativen Installation	Pressebild: Person in der Werkhalle vor einer kreativen Installation		rights_unverified
presse_werkhalle_portrait	presse_referenzen/pressebild_werkhalle_portrait.webp	presse_reference	Porträt einer Person in einem kunstvoll eingerichteten Raum	Pressebild: Porträt in einem kunstvoll eingerichteten Werkhalle-Raum		rights_unverified
presse_blumenkunst	presse_referenzen/pressebild_blumenkunst.jpg	presse_reference	Kunstvolle florale beziehungsweise installative Arbeit	Pressebild: florale Kunstinstallation in der Werkhalle 4		rights_unverified
